Suggestions for improvement,cluster
"Tăng cường communicate giữa các team để sharing knowledge, skill hay idea mới về công nghệ.",1
"Định hướng phát triển từng cá nhân cần rõ ràng hơn.
Phần giải trí, hoạt động ngoại khóa chưa tốt.",1
"Công việc mới, công nghệ mới có rất nhiều thử thách cho những ứng viên mới. Tuy nhiên nếu bạn vượt qua được thử thách đó thì bạn sẽ nhận lại được rất nhiều thứ",1
"Ít hoạt động vui chơi cho nhân viên.
Mặt bằng lương hơi thấp.
Các dự án phụ thuộc nhiều vào công ty mẹ. Cần làm các product để tăng sự chủ động của công ty.",1
"Need more pressure which creates more value, then we can award more.",3
"Need more pressure which creates more value, then we can award more.",3
"Need more pressure which creates more value, then we can award more.",3
"Thỉnh thoảng tắc thang máy
Phải gửi xe xuống tầng hầm B5",2
"Môi trường vẫn là outsource, scope nhỏ
Lương thấp so với mặt bằng chung
Nhân viên giỏi thường không ở lại cty quá lâu
Làm càng lâu càng thiệt hơn so với người mới tuyển",1
"Lên lương rất chậm, lương phụ thuộc phần lớn vào lúc phỏng vấn, mới thay đổi cơ chế lương nên khả năng còn hụt so với trước
Thiếu key nember để dịch chuyển sang trung tâm nghiên cứu vì thiếu ngân sách, còn người giỏi thực sự lại không muốn làm lâu vì dự án nhỏ , không phù hợp nghiên cứu
Văn hóa nhàm chán",0
"Hệ thống thông khí chán, phòng làm việc nóng, cần để nhiệt độ thấp hơn",2
Hơi ít hoạt động vui chơi. Tiêu chuẩn kết quả công việc hơi cao. Zero bug khi release.,1
"Mức lương khá thấp so với mặt bằng chung, nếu deal không tốt thì rất lâu mới lên được mức lương mới
Áp lực có lúc rất cao,
Môi trường buồn tẻ, nhàm chán, không sáng tạo",0
"Công việc nhàm chán, ít kiến thức, người làm lâu năm có tư tưởng bảo thủ. Chỉ có 1 số it Project được làm technical thực sự",1
"Môi trường an toàn, ít thử thách.
Kiểu suy nghĩ hơi cũ (theo kiểu panasonic)",0
"- Xét tăng lương, nâng bậc hàng năm còn theo cảm tính của các xếp nhiều, việc đánh giá không khách quan, người ở một bộ phận không liên quan và không biết về nhân viên ở bộ phận khác nhưng vẫn tham giá đánh giá và tham gia vào việc đánh giá nâng bậc nhân viên đó.
- Tăng lương chậm
- Mức lương thấp hơn mặt bằng chung.
- Nhân viên lâu năm lương thường thấp hơn nhân viên ít kính nghiệp và mới vào công ty
OT là chuyện bình thường và thường xuyên tại công ty",1
"Lương thấp, tăng chậm so với các công ty lớn.
Sếp còn cảm tính nhiều",0
"- Lương thấp, review lương ít
- Văn hoá Nhật nhiều thứ buồn cười",0
"Phong trào văn hóa giao lưu chưa tốt, làm việc khá buồn. Không gian làm việc chưa sáng tạo",2
Môi trường phù hợp với người thích ổn định. Lương thưởng phúc lợi tốt. Công việc và môi trường hơi nhàm chán.,0
"Ít chế độ đãi ngộ, tăng lương ít, môi trường làm việc ít có không gian sáng tạo",1
"Ko được thoải mái lắm, khá gò bó trong công việc
Môi trường tương đối trầm, không có nhiều hoạt động ngoại khóa",0
"Nhiều dự án quy trình còn chưa chuyên nghiệp.
Không khí công ty khá là nhàm chán.
Mạng bị chặn proxy khá chậm.
Thiếu senior software developer",0
"Mọi thứ hiện tại đều ổn, chưa cảm thấy công ty có điểm gì cần cải thiện.",1
Tổng quan không có gì cần cải thiện,1
"- Văn phòng cần mở rộng không gian hơn để tiện làm việc.
- Cần bổ sung thêm ghế ngồi cho nhân viên.",2
Hiện tại chưa có ý kiến gì thêm. Chắc quan sát thêm tầm 1 năm nữa rồi mình sẽ vào viết review lại,1
"Nothing up to now, everything is good and meets my expectation!",3
Mong đợi có nhiều chương trình đào tạo để phát triển chuyên môn công việc,1
- Company recently move away from salary raise twice a year. Now is just once a year or maybe two if you have promotion,3
"Nên có nhiều hoạt động gắn kết nhân viên, cross squads",1
"Lộ trình thăng tiến chưa rõ ràng, phải tuỳ vào team của mình.",1
Cần có thêm activities để mọi người thân với nhau hơn,1
"- Company recently move away from salary raise twice a year. Now is just once a year or maybe two if you have promotion
- Office is quite small for current team",3
"I have no idea that this moment, overall is good.",3
Mở rộng văn phòng. Mình thấy hiện số lượng nv cũng nhiều mà không gian thì khá nhỏ. Cá nhân mình thấy ánh sáng khá tối,2
"Văn phòng có vẻ hơi chật so với số lượng người hiện tại.
Công ty có Công Đoàn và công đoàn có tiền ăn xế cho mọi người. Nếu Công Đoàn đặt đồ ăn luôn như trước đây công ty làm thì càng đỡ cho team.",1
"Nhà vệ sinh nam của toà nhà hơi kín, ngộp. Các team có vẻ hơi ít đi chơi với nhau nên ngoài công việc ra mn chưa được thân lắm.",2
"Hiện tại, chưa thấy điểm cần cải thiện. Cần nhiều thời gian để trải nghiệm hơn để có thể nhận xét.",1
Chưa có thông tin gì để chia sẻ Chưa có thông tin gì để chia sẻ,1
"văn phòng mới chật, lộn xộn, phòng ăn máy lạnh, bàn ghế không khác gì văn phòng cũ
phòng không cách âm
không cấp laptop cho nhân viên
không có du lịch
có mỗi hoạt động đánh cầu lông thì anh em phải tự bỏ tiền ra thuê sân
không OT nhưng vẫn expect dev làm ngoài giờ, còn bù lại thì tùy",2
"Hiện mới chuyển chổ mới đang mở rộng nên hơi thiếu chổ ngồi, dù sao cũng khá ổn với không gian làm việc.",1
"Hiện tại không thấy điều gì cần cải thiện, mọi thứ đều ok!",1
"Tuyển dụng dài dòng,
Không có quy trình khi làm việc, dự án nhàn
Đổi chỗ liên tục, không có hoạt động gắn kết nhân viên.
Vẫn có hơi hướng việt nam, không phải công ty sing, trả lương vẫn kiểu việt nam
Luôn tuyển người trẻ, ưu tiên fresher junior vì dễ trả lương, làm việc đến level cứng rồi thì không còn học gì được nữa.",0
"- Cần có thêm nhiều hoạt động team-building
- Không bị đổi chỗ nhiều lần nữa",2
Cty đang trong quá trình phát triển và đổi mới nên quy trình hơi lủng củng,0
"Văn phòng làm việc hơi nhỏ, tới giờ ăn trưa hơi chen chúc
có vẻ hơi ít nhà vệ sinh so với nhu cầu sử dụng hiện tại của team",2
"Quá nhiều đồng nghiệp dễ thương dẫn đến làm mình phân tâm trong công việc, công ty cần cải thiện ạh.",1
"- Văn phòng đông người rồi, đề nghi chuyển ra gần trung tâm hơn, vị trí làm mình khó lôi kéo bạn bè.
- Công ty không cấp laptop, có hỗ trợ 50% tiền mua máy
- Thấy mấy bạn HR làm việc nhiều, cực quá",2
"- Văn phòng cần thêm chút màu sắc, trang trí.
- Nên có company trip bên cạnh team building.",2
Tạm thời chưa nghĩ ra nên bổ sung sau. Mãi vẫn chưa đủ ký tự....,2
Nói chung chưa có gì lớn để cải thiện. Họp ngày 100 bữa :D,2
"Stressed deadlines
Dramas and pressures from Commercial team in Singapore
Stuffed office",3
"- Lần đầu đi phỏng vấn khá khó tìm ra công ty, may mà bác bảo về rất nhiệt tình, chỉ dẫn tận tâm vào tận cửa văn phòng",2
"Requirements đôi lúc chưa rõ ràng, nhưng đang cải thiện",1
"- Cần quảng bá hình ảnh và tên tuổi của công ty nhiều hơn
- Các chương trình đào tạo nhân viên cần chỉnh chu và sâu rộng hơn",1
"- Các tool làm việc và process đang hơi manual, hợp với scale cty vừa và nhỏ. Process cần cải thiện nếu cty đang muốn scale lên nhiều nhân sự hơn
- Vài vị trí bị thiếu người nên sẽ hơi overload cho vài bạn
- Chỗ giữ xe ngoài trời nên hơi xót xe (nhưng chú bảo vệ dễ thương và có phủ bạt cho xe)",2
"Công ty cho ăn nhiều quá. Bao ăn trưa và thêm 1 bữa ăn xế tầm 4h, ăn xế xong nhiều khi tối về không ăn cơm nhà được nữa. Đó là chưa kể đến quầy bánh trái công ty lúc nào cũng nhiều.
Có cái club chuyên đi nhậu mỗi tối thứ 6 nữa.",2
"- xung quanh ít chỗ ăn chơi
- chỗ để xe ngoài trời
- phòng họp và pantry nóng",2
Dự án khá là nhiều so với số lượng team member trong công ty,1
Dự án khá là nhiều so với số lượng team member trong công ty,1
"Tiêu chí đánh giá kết quả làm việc của một số bộ phận chưa thực sự rõ ràng, vẫn còn dựa nhiều vào cảm tính và liên tục thay đổi.",0
Có thêm nhiều benefits khác nữa cho nhân viên thì tốt hơn,1
"Cân đối lại giờ làm, có nhiều hoạt động teambuild chung ngoài cty hơn
Làm việc ca đêm, tuần làm 6 ngày, nghỉ 1 trong 2 ngày t7 hoặc cn",0
"Cân đối lại giờ làm, có nhiều hoạt động teambuild chung ngoài cty hơn
Làm việc ca đêm, tuần làm 6 ngày, nghỉ 1 trong 2 ngày t7 hoặc cn",0
"- Không được tự do quyết định công việc mà phải phụ thuộc vào ý kiến của công ty mẹ. Mong tương lai công ty nắm quyền quyết định cho ae bớt áp lực.
- Không có phòng ngủ trưa nên ae phải ngủ trên bàn.
- Một số người tính cách và mindset kì cục nhưng mình nghĩ ở đâu cũng có người này người kia. Mong công ty có thể đóng góp ý kiến tới những người như vậy để họ cải thiện.",1
"Thấy phần lớn các quyền quyết định còn phụ thuộc vào công ty mẹ nhiều, cũng mong muốn có phần nào đó cải thiện phần này, vì để cty mẹ trust thì chỉ có cách để team VN quyết định và làm, một phần cũng góp phần cho những bạn junior growth về mặt problems solving thay vì chỉ code",1
"There is almost no salary increase. So when I got an offer from this company, I should have strongly negotiated my salary.
When I quit this company, back office members were so impolite and unkindly.
The previous office at D1 was comfortable, but the current office is stressful and awful.
It's very difficult to get good reviews because CEOs and managers lack the software skills and knowledge",3
"There are some people with bad mindsets.
The office was good until last year, but the current office is not good.
The management layers don't have any development experience, so it's almost impossible to get them to evaluate your skills and experience.",3
"có máy pha cà phê thì tuyệt vời, lò vi sóng, tủ lạnh thì có đủ cả rồi",2
"- Máy chấm vân tay thường xuyên lỗi, không nhận được vân tay",2
"Need to prepare money for motorbike parking
Can not work in cafe",3
Offices is small for 80 members. Need to improving working space,3
"But hard to be promote
Need to review salary more often",3
"- nhà vệ sinh của toà nhà không có vòi xịt
- toà nhà full kính, nên từ trưa đến chiều sẽ nắng nóng",2
Công ty hiện tại chưa có phòng họp riêng nên việc book phòng còn khá khó khăn.,2
"- Thiết bị nếu được mua Macbook thay vì Mac Mini thì tiện hơn nhưng nghe nói sẽ đổi.
- Công ty còn mới, nên quy trình đôi khi vẫn còn đang xây dựng nên.",1
"Mặc dù PCT có rất nhiều khía cạnh tích cực nhưng vẫn luôn có chỗ để cải thiện. Chẳng hạn, công ty mới thành lập nên cơ sở vật chất cũng như các chính sách dành cho nhân viên chưa được như những công ty lâu năm. Tuy nhiên, công ty đang liên tục làm việc để tìm cách cải thiện và cung cấp trải nghiệm tốt nhất có thể cho nhân viên của mình.
Hiện tại công ty không có OT nha",1
Hiện tại mình khá hài lòng chỉ là hiện đang tuyển nhiều developer về làm chung nhưng chưa tuyển được nhiều.,1
Tăng số lượng con gái xinh. Tăng số lượng nhân viên.,1
"keeping the current C&B, working environment, building better scalability system",3
"Không có gì cần phải cải thiện, môi trường rất tốt",0
không quá nhiều điều cần cải thiện vì hiện tại chế độ cho dev đã rất tốt. Nếu tình hình kinh doanh công ty ổn thì nâng cao các chế độ hiện tại lên.,1
"văn phòng hơi nhỏ, bếp nhiều khi bẩn........................",2
- Văn phòng cần nhiều cây xanh và ánh sáng tự nhiên hơn,1
Công ty hơi trầm và ít hoạt động tập thể ngoài trời. Dương thịnh âm suy.,1
"Nên tay đổi cách quản lý, Tôn trọng nhân viên, lắng nghe ý kiến nhân viên, đăng biệt khi có thông báo về chính sách nên truyền đạt thông tin đầy đủ
Sếp là một người không có chuyên môn, đặc biệt những quyết định hay theo cảm tính",1
"Chính sách chán, sếp chán, không thật sự quan tâm đến nhân viên
không có chính sách khuyến khích OT làm việc bằng tâm",1
"Chính sách chán, sếp chán, không thật sự quan tâm đến nhân viên
không có chính sách khuyến khích OT làm việc bằng tâm",1
"Chính sách chán, sếp chán, không thật sự quan tâm đến nhân viên
không có chính sách khuyến khích OT làm việc bằng tâm",1
Cần thay thế những máy tính cũ bằng máy tính mới hiện đại hơn,2
Văn phòng nên có thêm khu vực ngủ trưa và nhiều cây xanh hơn,2
I dont think there are any nesscessary improvement yet. But maybe it would be nice if the office is bigger,3
Cần cải thiện thêm điều kiện phòng ốc. Có thể cân nhắc chuyển vị trí văn phòng.,1
"Việc duy trì hệ thống tốn kém, ít có sự thay đổi, ít có challenges cho các bạn làm lâu năm ở đây. Có thể không duy trì được năng lực và độ cạnh tranh so với thị trường. Mức lương tương đối trung bình, không cao so với thị trường nhưng phù hợp với dạng công việc.",1
Không phải công ty outsource nên khả năng scale team là ít. Muốn lên những vị trí rất cao (C-level) có thể sẽ hơi khó.,1
Mình muốn đề xuất công ty bố trí thêm nhiều ghế sofa hơn nữa để mọi người ngủ trưa,1
Có thể xây dựng nhiều chương trình gắn kết hơn để thành viên các team biết nhau nhiều hơn,1
Công ty có thể để thêm cây xanh trong văn phòng để không gian làm việc thoải mái hơn,2
Mong là công ty mở rộng để có thêm nhiều cơ hội thăng tiến,1
Nên cải thiện thêm về thiết kế phòng họp để đảm bảo cách âm,2
"Công ty bé nên chưa có cơ hội thăng tiến nhiều. Cũng có review performance 2 lần 1 năm nhưng k phải lần nào cũng được,",1
"Mình nghĩ mức lương của PIXTA sẽ không được quá cạnh tranh so với các công ty product, nhưng tổng gói benefit thì rất ổn áp.",1
1 vài phòng họp chưa được cách âm. Cần thiết kế lại.,2
Chiếc tủ mát nên được thay thế bằng chiếc tủ lạnh TO và đủ chức năng ạ :))),2
"- Công ty đang trong giai đoạn ổn định, ai cần thử thách lớn thì sẽ chưa phù hợp lắm",1
"- Nếu được thêm 1,2 ngày WFH 1 tháng thì rất tuyệt ạ",2
"Có kế hoạch training tốt hơn cho nhân viên mới.
Tìm cách cải thiện bản thân quan trọng hơn hết",1
Bản thân mình thấy mức lương trung bình còn khá thấp,0
Công ty khá êm đềm và quy mô nhỏ nên khá trầm. Công ty vẫn tổ chức các hoạt động nội bộ thường xuyên nhưng mình vẫn thích không khí xôm hơn 1 chút,2
"Chưa nghĩ ra công ty cần cải thiện gì, anh em làm ở đây thử đánh giá xem.",1
Hiện công ty đang đã đi vào giai đoạn ổn định nên ít có ý tưởng mới.,1
Thỉnh thoảng ăn nhiều quá cũng khiến mình bị tăng cân huhu,2
Thỉnh thoảng ăn nhiều quá cũng khiến mình bị tăng cân huhu,2
"Need to open more event for employees to show their characters.
Because the branch in Vietnam is new, so need to build and standardize rules.",3
"Hầu như không có gì nhiều đề cải thiện ở VN office, chủ yếu cần improve cross-office communication.",1
Đường chạy xuống hầm gửi xe hơi bé nhìn hơi sợ mỗi lần chạy.,2
"Hơi áp lực, lúc khóc, huhuhuhuhuuuhuhuhuhhuhuhuuhhhhu",0
"Không gian làm việc mở nên đôi khi hơi ồn, nhưng cũng quen dần.",2
"Không gian làm việc mở nên đôi khi hơi ồn, nhưng cũng quen dần.",2
Thực sự là mình chưa tìm ra được điều gì chưa hài lòng nữa :(,1
Thực sự là mình chưa tìm ra được điều gì chưa hài lòng nữa :(,1
"Không gian làm việc mở nên đôi khi hơi ồn tí, nhưng không thành vấn đề",2
Rất thích ăn pizza cho đến khi vô công ty này làm.,1
Rất thích ăn pizza cho đến khi vô công ty này làm.,1
Rất thích ăn pizza cho đến khi vô công ty này làm.,1
"Mong cơm trưa của công ty được cải thiện hơn, mở thêm nhiều lớp đào tạo",1
"Nên có lộ trình thăng tiến rõ ràng hơn
............",1
Đề nghị cải thiện là cơm trưa của công ty nên ngon hơn,1
Lương cao nhưng tiêu hết vào mấy cái máy gắp gấu quanh văn phòng rồi :(,1
"Có những vị trí workload khá nặng và áp lực cao, nhưng bù lại môi trường ok và có nhiều cơ hội thì cũng đáng.",0
Vì là công ty nước ngoài nên xác định thi thoảng phải họp trái múi giờ với team ở studio khác.,0
"Hơi ít training, nhưng có lớp Tiếng Anh khá ổn áp 👍",0
Hiện giờ công ty tăng size khá nhanh nên hơi chật chỗ ngồi. Thấy anh sếp tổng báo sắp tới có thêm 1 khu mới ở tầng 1 thì chắc sẽ thoải mái hơn.,2
"Vì cty mới về VN nên quy trình chưa được hoàn thiện 100%, nên có chế độ OT tốt hơn.",0
"Phỏng vấn khá nhiều vòng, nhưng process chuyên nghiệp",0
Hoạt động đào tạo nội bộ cần chú trọng và đẩy mạnh hơn,1
Công ty cần có thêm những buổi training kiến thức cho anh em,1
"Cần cải thiện khâu quản lý dự án, requirement task nên rõ ràng hơn",0
"Ít hoạt động tập thể, khá công nghiệp tới chỉ làm đúng giờ rồi về, phù hợp với thực tập sinh.",1
"Ít hoạt động tập thể, khá công nghiệp tới chỉ làm đúng giờ rồi về, phù hợp với thực tập sinh.",1
"Ít hoạt động tập thể, khá công nghiệp tới chỉ làm đúng giờ rồi về, phù hợp với thực tập sinh.",1
Không có gì để không thích cả. Rất tốt. À nên lương cao xíu sẽ tốt,0
"Công ty chú trọng các skill digital nên các upskilling programs đa phần là digital. Những technical skill như nhân sự gần như không có khoá học gì, chủ yếu On the job training",1
Really need to work-life balance to make sure finish all assigned task.,3
"- Lương thấp so với mặt bằng chung
- Do là cty lớn nên mọi quy trình đều lằng nhằng tốn thời gian",0
"Môi trường toxic, thích đâm sau lưng người khác.
Lương càng ngày càng thấp, OT thì không có, nhưng work load thì rất rất nhiều. Làm tới 12h giờ đêm hằng ngày là chuyện bình thường.
Mệt mỏi tới mức intern vài bữa là đòi nghỉ, new joiner chưa pass probation cũng đòi nghỉ, nhân viên kỳ cựu cũng submit liên tục.
Nói chung là Big 4 đã hết thời rồi, mấy bé vào lấy reputation thì được.
OT ở đây đã bị cap, auditor thì sẽ có vài trăm tiếng OT, thuế thì nghe nói là không luôn. Đôi khi charge time nhiều cũng bị Manager chửi.",0
Phải điền timesheet và record giờ làm. Ban giám đốc cần phân việc đều hơn để các Intern đều có cơ hội phát triển,1
"- Công việc đôi lúc rất áp lực
- Quy trình làm việc khá rườm rà
OT không theo policy của công ty, công việc nhiều nhưng OT không được tính nhiều",0
"Salary is just suitable for new freshers, who need to gain working experiences. The salary level is quite not competitive enough to retain senior staffs.",3
"Họp và báo cáo nhiều gây mất thời gian, liên hệ giữa các phòng ban còn rườm rà",0
Vì môi trường quá chuyên nghiệp nên thiếu tình cảm. Luôn máy móc và không trao nhiều cơ hội cho người trẻ.,0
The place can be a bit more organized sometimes. A little bit of order goes a long way.,3
"The company should assign fixed seating for everyone. Currently, if I arrive a bit late, I might lose my chair.",3
"I've been here for a bit over two months, and so far, everything’s been great! No suggestions for now.",3
I have nothing to complain about when working at Raksul Vietnam.,3
"For me, everything is all good so far and I really love working here.",3
"I think the company just needs to continue with its current approach, maintaining the practices that have been effective and consistently keeping up the high standards.",3
"Needs to continue with its current approach.
Improve the performance evaluation process to be conducted twice a year",3
"Có thêm nhiều phúc lợi khác để nhân viên yên tâm làm việc và gắn bó dài lâu: bảo hiểm cho người thân, du lịch nước ngoài :D",1
It would be great to have a Japanese class for people who work with Japanese colleagues to communicate efficiently.,3
"I think Raksul just needs to continue with its current approach, maintaining the practices that have been effective and consistently keeping up the high standards.",3
"I feels quite annoyed when parking on floor 5th or 6th. otherwise, nothing to complain",3
"Company should work more on the process of developing and deploying, it will help Dev and QA work less and reduce the time needs to be spent on Release",3
"Everything has been great, and there's nothing to complain about from now on.",3
"No, Most things needed already offered by Raksul, really appreciated.",3
Should open English classes and more training programs for employees.,3
"To be honest, I can't think of any improvements at the moment. Without a doubt, Rakul is one of the greatest workplaces I've ever been part of, even compared to my previous working experiences in the U.S. before coming back to Vietnam.",3
"Require good English and Japanese communications skill, so might be some classes to help member with it.",3
Explore the culture of creativity and technical excellency through incentive for non work-related contribution.,3
"communication channels between departments. At times, there can be a disconnect, which leads to inefficiencies",3
It would be beneficial if the company could provide clear growth opportunities and career paths for senior employees who wish to specialize and advance in their technical skills.,3
Some team are pretty crowded and it's harder for new member to catch-up without being really active. But every is good overall.,3
Have more group activities in English class for better speaking skills.,3
"As most documents are in Japanese, providing more language training classes would help team members understand documents better.",3
"- Having more technical, English training courses",3
It would be nice if we had more activities or learning classes across multiple projects.,3
"Separate English classes for Vietnamese employees instead of learning with the Japanese team, as their schedule is quite early.
New teams should have documentation on work processes to make it easier for new employees to follow.",3
Grade levels and definition are somehow ambiguos and complicated,3
"currently, not many suggestions for improvement, maybe more chances for employees to learn English",3
"Improve pipeline is a must.
DevOps team randomly change the testing environment and block all the other team from release their work.",3
"Generally, I feel happy in both working and the culture, everything ...",3
"Cty giờ hơi đông nên chưa có cơ hội tiếp xúc với các team dự án khác, còn lại thì mọi thứ đều ổn.",1
continue to increase salaries and bonuses regardless of everything ;)),3
The HRs is alway listen so there are no need of improvement for now.,3
It'd be great if the company also sponsor private healthcare for employee's children/spouse,3
"No any suggestion now. For me, it is so perfect now.",3
"Nothing popup on my head at this time.
Keep the atmosphere and grow",3
"- Perhaps more company stuff like shirt, cups, stuff give away, etc",3
"No things in my mind for now.
Will ask HR if I come up with some ideas💡",3
- Company expand more employees so sometimes office a bit crowded,3
"Grade system is kinda complicated for employee. To me, I think nothing else need to concern",3
Grade system is complicated. I think the company should compact the grade system to make it easier to understand for staffs.,3
Not sure good or bad. The levels spread to multiple grades and bands. The salary for each grade is a kind of publicly,3
"- The work-hours policy should be stated more clearly and explicitly. Sometimes I feel it is different for different employees
- The decisions for employee career advancement should be more transparent",3
"Hiện tại chưa có, phát huy hơn nữa chất lượng các hoạt động của công ty.",1
Công ty mở rộng thêm qui mô để có thêm cơ hội công việc cho IT Việt,1
Làm việc hay bị đói bụng mà tìm không thấy đồ ăn vặt :))) có thể trích quỹ nhân viên hoặc công ty hỗ trợ xíu mua bánh kẹo cho thêm vui.,2
"Công ty nên tuyển thêm nhiều mem trẻ, hiện dân số hơi quá lứa",1
"- Cần có nhiều buổi technical sharing hơn
- Văn phòng vẫn còn nhỏ, vị trí ngồi giữa các Member và các Team chưa thật sự thoải mái
- Các phòng meeting room vẫn còn nhỏ và cách âm chưa thật sự tốt
- Chưa thật sự có nhiều hoạt động trong tuần để gắn kết với nhau các thành viên trong công ty",2
- Hiện đang rất ổn... cố gắng giữ vững và phát huy thêm các ưu điểm khác...,1
"- Chưa có vấn đề gì cần cải thiện.
- Mở rộng thêm văn phòng để có thêm nhiều gương mặt mới.",1
"- Chưa có vấn đề gì cần cải thiện.
- Mở rộng thêm văn phòng để có thêm nhiều gương mặt mới.",1
"Tiêu chí của công ty là nói không với OT.
Tuy nhiên có nhiều lúc cô",1
"quy trình phần mềm khá phức tạp, nhiều công đoạn.
Họp khá nhiều.",2
Công ty mới thành lập nên chưa được nhiều bạn biết đến. Nên khi dự án cần người thì tuyển hơi lâu.,0
Cần giảm bớt áp lực cho developer khi có dự án cần đào tạo những bạn sinh viên cuối năm ba đầu năm tư và cho thực tập vào công ty.,0
"- Dự án challenging hơn thì tốt
- Còn lại chưa có gì để chê",0
"- Không có chính sách work from home, hybrid
- Giờ làm việc không linh hoạt
- Quy trình làm việc phức tạp, thường xuyên họp hành
- Không sử dụng tiếng anh nhiều
- Dự án chưa quá challenge",0
"- Benefits hạn chế, không hấp dẫn
- Không có lớp học tiếng Anh.
- Quy trình làm việc quá phức tạp và có quá nhiều cuộc họp.
- Thời gian làm việc không linh hoạt và không có chế độ work from home
- Các dự án chưa mang tính thử thách cao.",0
"- Không có chế độ work from home
- Thời gian làm việc khá nghiêm, nếu được flexible time thì tốt hơn
- Công ty có nhiều process và đào tạo về văn hóa công ty chưa thật sự hiệu quả, mất khá nhiều thời gian
- Dự án chưa có nhiều challenge
- Nên có nhiều ngày nghỉ phép hơn
- Chỉ tiêu đánh giá performance nên cụ thể hơn",0
"The workspace is an open space, which isn't suitable for an introverted person like me. If possible, I would prefer partitions between the desks for more privacy. Additionally, the office is located in the center of the city, and the parking is far away. It’s a waste of time in the morning when I park, as I have to walk about 5 minutes, cross an intersection to get to the company, and then wait for the elevator.",3
"- Phúc lợi chưa có gì nội trội ngoài đóng BHXH full
- Phải lên office 100%, chưa có remote hay Hybrid
- Họp hành và quy trình làm việc khá mất thời gian
- Không có lớp tiếng Anh, việc sử dụng tiếng Anh cũng không nhiều
- Dự án còn khá đơn giản, chưa có nhiều thử thách",0
"- Môi trường Nhật nên khá nghiêm khắc về thời gian
- Chưa có chính sách work from home
- Chỉ có 12 ngày phép/năm
- Bãi gửi xe hơi xa",0
"Quy trình làm việc với công ty Nhật nên rõ ràng hơn.
Cần thêm nhiều Senior và Manager để thúc tiến quy trình làm việc với bên Nhật.",0
"Having work from home policy
Budget of team building will be increased in the future",3
"Nếu công ty có thể work from home, remote thì quá tuyệt vời.",2
Chính sách phúc lợi chưa cạnh tranh nhiều so với công ty khác,1
"Môi trường làm việc đôi khi khá căng thẳng, cần có thêm hoạt động giảm stress cho nhân viên
Chế độ lương thưởng cần xem xét để cạnh tranh với thị trường hơn.",1
Công ty cần cải thiện trong process đăng ký phòng họp. Lâu lâu sẽ có trường hợp phòng họp có người sử dụng nhưng chưa đăng ký.,2
"- Benefits: Increase support for commuting costs and health programs.
- Salary and Bonuses: Regularly review salaries and enhance bonus policies.
- Training: Expand training and professional development programs.",3
"- Create productivity such as relaxation areas.
- Offer wellness programs, mental health resources and flexible working hours to support employees overall health and work life balance.",3
"- Có chính sách Work from home
- Chỗ gửi xe ở tòa nhà đắt",2
"- nên giảm sử dụng tiếng Nhật khi họp.
- thời gian nhận feedback nên nhanh hơn",0
"Bãi giữ xe xa công ty và phải băng qua đường, hơi không tiện, đôi khi mưa quên mang dù phải đội mưa qua đường
Không gian làm việc mở nên đôi khi hơi ồn 1 xíu",2
"Thống nhất quy trình làm việc với công ty mẹ bên Nhật.
Nên tự động hóa một vài quy trình quản lí.
Tìm các dự án mà cộng sự bên Nhật có thể giao tiếp bằng tiếng Anh, để giảm sự phụ thuộc và nghẽn cổ chai ở vị trí BrSe.
Nên rõ ràng về việc sử dụng ngôn ngữ nào khi làm việc với ứng viên khi phỏng vấn vào công ty.",0
"Thời gian làm việc không linh hoạt vì phải follow theo lịch đi làm cố định, không được work from home.
Bãi gửi xe của tòa nhà công ty thuê khá đắt và phải trả trước 3 tháng",2
"- Gói phúc lợi cơ bản, chưa có gì đặc sắc
- Môi trường đậm văn hóa Nhật, đi làm đúng giờ
- Môi trường đề cao tính bảo mật nên process và quy định làm việc hơi phức tạp
- Phụ thuộc bên Nhật khá nhiều, nên chưa được chủ động trong dự án và technical",0
"Thời gian làm việc chưa được linh hoạt, không có chế độ work from home hay remote
Cơ hội thăng tiến chưa rõ ràng, cần có lộ trình phát triển sự nghiệp cụ thể hơn",0
"Thời gian làm việc linh hoạt, không có chế độ work from home hay remote",0
"Cần làm gọn quy trình làm việc.
More flexible working time.",0
"- Không được làm remote hay hybird, cũng như ko có chính sách flexible time
- Làm với công ty mẹ bên Nhật, nên process rất phức tạp
- Phỏng vấn tiếng anh đầu vào, nhưng cơ hội dùng tiếng anh trong công việc không nhiều
- Họp hành hơi nhiều, đôi lúc thấy mất thời gian
- Benefits chưa có gì đặc sắc",0
"Chưa có chế độ làm remote
Chỗ gửi xe hơi nhỏ
Thang máy đông giờ cao điểm",2
"Internal communication still need to improve and is on the way to improve so a bit lagging.
I want to learn and get N1 so it’s better to have that course, now we only have N5 or 4 class.
Need more training for new managers in order to build more healthy environment for employees.",3
"Một số công nghệ đặc thù, dự án chưa challenge do cty mới thành lập. Hy vọng cty mẹ sẽ đưa thêm nhiều dự án thử thách hơn và tin tưởng vào RFV hơn!",0
"Quy trình làm việc rườm rà
Nơi giữ xe tương đối xa toà nhà làm việc",2
"Giờ giấc nghiêm ngặc, đúng giờ làm đúng giờ về.
Chưa sử dụng nhiều tiếng anh mặc dù đầu vào pv tiếng anh.",0
